ìsésî‘çÜ,xç¿ïW,yç¿ïW
3,74,52,367.020837,1104.003056
4,52,93,686.051676,1790.054732
5,93,13,522.363442,2312.418174
6,13,36,293.839757,2606.257931
7,36,59,534.375849,3140.633779
8,59,48,823.423965,3964.057744
9,48,40,368.101923,4332.159667
10,40,31,507.696172,4839.855839
11,31,4,932.473182,5772.329021
12,4,60,777.862572,6550.191593
13,60,90,332.012536,6882.204129
14,90,69,520.541542,7402.745672
15,69,83,680.442495,8083.188167
16,83,62,1524.711752,9607.899919
17,62,71,212.834447,9820.734366
18,71,76,419.700765,10240.435131
19,76,72,285.977721,10526.412852
20,72,89,219.965342,10746.378194
21,89,29,901.117464,11647.495658
22,29,66,68.547175,11716.042833
23,66,80,689.364624,12405.407457
24,80,45,289.624030,12695.031487
25,45,58,1236.064057,13931.095544
26,58,34,219.298516,14150.394059
27,34,27,841.684605,14992.078664
28,27,85,219.989476,15212.068140
29,85,19,494.476380,15706.544520
30,19,25,950.121299,16656.665819
31,25,96,766.912516,17423.578335
32,96,22,1387.672414,18811.250749
33,22,64,343.522349,19154.773097
34,64,8,955.508602,20110.281699
35,8,26,614.891834,20725.173533
36,26,77,757.124420,21482.297953
37,77,61,1075.216628,22557.514580
38,61,37,382.948138,22940.462718
39,37,21,638.921620,23579.384339
40,21,41,988.646306,24568.030645
41,41,6,1188.985871,25757.016516
42,6,56,473.434246,26230.450761
43,56,16,5123.301689,31353.752450
44,16,30,287.753654,31641.506104
45,30,53,814.873316,32456.379420
46,53,3,631.203970,33087.583390
47,3,44,86.396168,33173.979559
48,44,12,536.030780,33710.010339
49,12,91,113.174817,33823.185155
50,91,46,423.510876,34246.696031
51,46,20,792.897072,35039.593103
52,20,67,761.660036,35801.253138
53,67,86,1054.125150,36855.378288
54,86,75,712.231665,37567.609954
55,75,23,936.766160,38504.376114
56,23,15,878.652227,39383.028341
57,15,94,551.407962,39934.436303
58,94,17,601.769851,40536.206154
59,17,63,213.813074,40750.019228
60,63,42,453.222049,41203.241277
61,42,28,450.663058,41653.904335
62,28,7,639.955101,42293.859436
63,7,99,675.800949,42969.660385
64,99,92,530.694023,43500.354408
65,92,9,223.781691,43724.136098
66,9,87,1459.963335,45184.099434
67,87,35,2097.365294,47281.464728
68,35,43,184.508985,47465.973713
69,43,50,330.870258,47796.843971
70,50,81,494.755157,48291.599128
71,81,51,542.812141,48834.411269
72,51,47,658.634182,49493.045451
73,47,65,664.169875,50157.215326
74,65,82,611.685467,50768.900793
75,82,98,623.037418,51391.938212
76,98,84,40.822590,51432.760802
77,84,57,491.143258,51923.904060
78,57,32,1261.549221,53185.453281
79,32,88,406.441188,53591.894469
80,88,73,1008.898832,54600.793301
81,73,18,1388.754317,55989.547618
82,18,11,26.814371,56016.361989
83,11,39,1194.985173,57211.347162
84,39,79,1433.013633,58644.360795
85,79,14,3076.178876,61720.539671
86,14,49,7122.203396,68842.743067
87,49,33,530.025391,69372.768458
88,33,5,582.296296,69955.064753
89,5,95,197.742893,70152.807646
90,95,38,1167.062938,71319.870584
91,38,24,546.464133,71866.334717
92,24,70,689.654834,72555.989552
93,70,54,546.722791,73102.712343
94,54,100,506.283672,73608.996015
95,100,2,763.331548,74372.327562
96,2,55,1366.441819,75738.769382
97,55,97,345.651639,76084.421021
98,97,68,2367.263017,78451.684038
99,68,10,444.607924,78896.291962
100,10,78,6241.538742,85137.830703
,78,1,8166.916254,93304.746957

ìsésî‘çÜ,ñKñ‚èáèò
1,1
2,95
3,46
4,11
5,88
6,41
7,62
8,34
9,65
10,99
11,82
12,48
13,5
14,85
15,56
16,43
17,58
18,81
19,29
20,51
21,39
22,32
23,55
24,91
25,30
26,35
27,27
28,61
29,21
30,44
31,10
32,78
33,87
34,26
35,67
36,6
37,38
38,90
39,83
40,9
41,40
42,60
43,68
44,47
45,24
46,50
47,72
48,8
49,86
50,69
51,71
52,3
53,45
54,93
55,96
56,42
57,77
58,25
59,7
60,12
61,37
62,16
63,59
64,33
65,73
66,22
67,52
68,98
69,14
70,92
71,17
72,19
73,80
74,2
75,54
76,18
77,36
78,100
79,84
80,23
81,70
82,74
83,15
84,76
85,28
86,53
87,66
88,79
89,20
90,13
91,49
92,64
93,4
94,57
95,89
96,31
97,97
98,75
99,63
100,94

ñKñ‚èáèò,ìsésî‘çÜ
1,1
2,74
3,52
4,93
5,13
6,36
7,59
8,48
9,40
10,31
11,4
12,60
13,90
14,69
15,83
16,62
17,71
18,76
19,72
20,89
21,29
22,66
23,80
24,45
25,58
26,34
27,27
28,85
29,19
30,25
31,96
32,22
33,64
34,8
35,26
36,77
37,61
38,37
39,21
40,41
41,6
42,56
43,16
44,30
45,53
46,3
47,44
48,12
49,91
50,46
51,20
52,67
53,86
54,75
55,23
56,15
57,94
58,17
59,63
60,42
61,28
62,7
63,99
64,92
65,9
66,87
67,35
68,43
69,50
70,81
71,51
72,47
73,65
74,82
75,98
76,84
77,57
78,32
79,88
80,73
81,18
82,11
83,39
84,79
85,14
86,49
87,33
88,5
89,95
90,38
91,24
92,70
93,54
94,100
95,2
96,55
97,97
98,68
99,10
100,78

ëçà⁄ìÆãóó£,93304.746957

íTçıèàóùéûä‘,0.047000 ïb
